"label","secondary_label","percent"
"[-3,-2)","[3,4)",0.06759833533956237334
"[-3,-2)","[4,5)",0.03384991843393148450
"[-3,-2)","[5,6)",0.05646250992392098719
"[-3,-2)","[6,7)",0.04218778429092404933
"[-3,-2)","[7,8)",0.03305619235767032549
"[-3,-2)","[8,9)",0.03320258666383971165
"[-3,-2)","[9,10)",0.03490356606654775501
"[-3,-2)","[10,11)",0.02793682405332890770
"[-3,-2)","[11,16)",0.02600511878501871508
"[-3,-2)","[16,21)",0.02254767289421866594
"[-3,-2)","[21,26)",0.02106379754508258827
"[-3,-2)","[26,31)",0.02272601399376003840
"[-3,-2)","[31,46)",0.02250204094286393370
"[-3,-2)","[46,61)",0.02032053279326997975
"[-3,-2)","[61,76)",0.02011949762224119010
"[-3,-2)","[76,91)",0.02000134237197127324
"[-3,-2)","[91,)",0.01446526848133273836
"[-2,-1)","[0,1)",0.00035274842075460313
"[-2,-1)","[1,2)",0.00010563265836773166
"[-2,-1)","[2,3)",0.11340408657702323643
"[-2,-1)","[3,4)",0.09642131365838877105
"[-2,-1)","[4,5)",0.10752714749452106711
"[-2,-1)","[5,6)",0.08719906202516338323
"[-2,-1)","[6,7)",0.05652197989099049924
"[-2,-1)","[7,8)",0.05229407228202879872
"[-2,-1)","[8,9)",0.05179688328209477367
"[-2,-1)","[9,10)",0.05125178046683519614
"[-2,-1)","[10,11)",0.04628938124083755152
"[-2,-1)","[11,16)",0.04028161003466324390
"[-2,-1)","[16,21)",0.03326526028799598874
"[-2,-1)","[21,26)",0.03296314737442180994
"[-2,-1)","[26,31)",0.03221518636808388871
"[-2,-1)","[31,46)",0.03115667207473467743
"[-2,-1)","[46,61)",0.02980409721140364543
"[-2,-1)","[61,76)",0.03174409624842498882
"[-2,-1)","[76,91)",0.02842472649171085308
"[-2,-1)","[91,)",0.02063810798750557787
"[-1,0)","[0,1)",0.00088783860035792030
"[-1,0)","[1,2)",0.07646179348002730198
"[-1,0)","[2,3)",0.11345805853858920291
"[-1,0)","[3,4)",0.10379941786924575981
"[-1,0)","[4,5)",0.10850346861766111358
"[-1,0)","[5,6)",0.08427577722046089055
"[-1,0)","[6,7)",0.07080871126721566952
"[-1,0)","[7,8)",0.06803511626187181085
"[-1,0)","[8,9)",0.06441217004134421711
"[-1,0)","[9,10)",0.06209498389559727444
"[-1,0)","[10,11)",0.05924819517052526761
"[-1,0)","[11,16)",0.05464648871330960963
"[-1,0)","[16,21)",0.04551318545291208131
"[-1,0)","[21,26)",0.04371513721415221643
"[-1,0)","[26,31)",0.04372588476378606901
"[-1,0)","[31,46)",0.04466306358441236346
"[-1,0)","[46,61)",0.04012501947343823025
"[-1,0)","[61,76)",0.04168190871031987969
"[-1,0)","[76,91)",0.03084099604000268474
"[-1,0)","[91,)",0.02818682135951212256
"[0,1)","[0,1)",0.40995532958438677140
"[0,1)","[1,2)",0.36019923944485975233
"[0,1)","[2,3)",0.26561101507766715191
"[0,1)","[3,4)",0.20802695482231668024
"[0,1)","[4,5)",0.17149059930462866841
"[0,1)","[5,6)",0.17449276276702576802
"[0,1)","[6,7)",0.17284097111801979258
"[0,1)","[7,8)",0.13020695775272827155
"[0,1)","[8,9)",0.16537686844058093926
"[0,1)","[9,10)",0.13147865364626775655
"[0,1)","[10,11)",0.14282355544491466822
"[0,1)","[11,16)",0.12289311269781490904
"[0,1)","[16,21)",0.12185771514825473595
"[0,1)","[21,26)",0.12180056141262384633
"[0,1)","[26,31)",0.11462698691084977939
"[0,1)","[31,46)",0.10598952143765048724
"[0,1)","[46,61)",0.11020018694500701044
"[0,1)","[61,76)",0.11642889078567654351
"[0,1)","[76,91)",0.12262567957581045708
"[0,1)","[91,)",0.22807898259705488621
"[1,2)","[0,1)",0.19276109847980017995
"[1,2)","[1,2)",0.14864952709071407677
"[1,2)","[2,3)",0.11928103350309514207
"[1,2)","[3,4)",0.09195108322468189918
"[1,2)","[4,5)",0.08874223474549738824
"[1,2)","[5,6)",0.08635257128135564704
"[1,2)","[6,7)",0.08295955257058325620
"[1,2)","[7,8)",0.08321624391223047424
"[1,2)","[8,9)",0.08343050991201102512
"[1,2)","[9,10)",0.07659536244530277560
"[1,2)","[10,11)",0.07271872320416009736
"[1,2)","[11,16)",0.06694387013965213782
"[1,2)","[16,21)",0.06081656316429977907
"[1,2)","[21,26)",0.06189971063436740054
"[1,2)","[26,31)",0.05754426126608451640
"[1,2)","[31,46)",0.05871715115377858612
"[1,2)","[46,61)",0.05555771927091447266
"[1,2)","[61,76)",0.05403812543185790351
"[1,2)","[76,91)",0.04983555943351902812
"[1,2)","[91,)",0.05615052803807823888
"[2,3)","[0,1)",0.09905334789415160358
"[2,3)","[1,2)",0.09406181948191243865
"[2,3)","[2,3)",0.07253531790234972932
"[2,3)","[3,4)",0.07194068604693185957
"[2,3)","[4,5)",0.07120553001466541434
"[2,3)","[5,6)",0.06821348391404701441
"[2,3)","[6,7)",0.07220890587053341877
"[2,3)","[7,8)",0.07159533896066851897
"[2,3)","[8,9)",0.06990353016007632779
"[2,3)","[9,10)",0.06621411797918618229
"[2,3)","[10,11)",0.06099078914612895195
"[2,3)","[11,16)",0.06552198541223128300
