"stop_id","count"
"cz:55513:41310:1:2",10
"cz:55513:41360:1:Gl.1",17
"cz:55513:41380:1:Gl.1",19
"cz:55513:41396:1:Gl.1",17
"cz:55513:41410:1:Gl.1",6
"cz:55513:41421:1:Gl.1",3
"cz:55513:41450:1:Gl.1",8
"cz:55513:41455:1:Gl.1",8
"cz:55513:41456:1:Gl.1",8
"cz:55513:41457:1:Gl.1",8
"cz:55513:41470:1:1",6
"cz:55513:41472:1:1",6
"cz:55513:41480:1:1",6
"cz:55513:41530:1:Gl.1",18
"cz:55513:41570:1:Gl.1",8
"cz:55513:41571:1:Gl.1",8
"cz:55513:41596:1:Gl.1",12
"cz:55513:41680:1:1",6
"cz:55513:41711:1:Gl.1",12
"cz:55513:41712:1:Gl.1",12
"cz:55513:41723:1:Gl.1",12
"cz:55513:41723:2:Gl.2",18
"cz:55513:41730:1:1",6
"cz:55513:41777:1:Gl.1",12
"cz:55513:41820:1:Gl.1",6
"cz:55513:41830:1:Gl.1",10
"cz:55513:41833:1:Gl.1",10
"cz:55513:41842:1:Gl.1",10
"cz:55513:41890:1:1",6
"cz:55513:55007:1:1",6
"cz:55513:94212:1:Gl.2",18
"cz:55513:94212:1:Gl.3",19
"cz:55513:94212:2:Gl.4",13
"cz:55513:94212:2:Gl.5",31
"cz:55514:45000:1:Gl.1",13
"cz:55514:45030:1:Gl.1",6
"cz:55514:45500:1:Gl.1",42
"cz:55514:45501:1:Gl.1",7
"cz:55514:45502:1:Gl.1",12
"cz:55514:46000:1:Gl.1",7
"cz:55514:46001:1:Gl.1",6
"cz:55514:46120:1:Gl.1",13
"cz:55514:46150:1:Gl.1",6
"cz:55514:46160:1:Gl.1",6
"cz:55514:46180:1:Gl.1",12
"cz:55514:46182:1:Gl.1",12
"cz:55514:46220:1:Gl.1",6
"cz:55514:46237:1:Gl.1",6
"cz:55514:46250:1:Gl.1",11
"cz:55514:46290:1:Gl.1",6
"cz:55514:46302:1:Gl.1",6
"cz:55514:46326:1:Gl.1",12
"cz:55514:46360:1:Gl.1",7
"cz:55514:46387:1:Gl.1",12
"cz:55514:46390:1:Gl.1",6
"cz:55514:46410:1:Gl.1",7
"cz:55514:46430:1:Gl.1",9
"cz:55514:46470:1:Gl.1",3
"cz:55514:46470:2:Gl.2",9
"cz:55514:46510:1:Gl.1",9
"cz:55514:46590:1:Gl.1",6
"cz:55514:46591:1:Gl.1",6
"cz:55514:46700:1:Gl.1",13
"cz:55514:46710:1",6
"cz:55514:46746:1:Gl.1",7
"cz:55514:46803:1:Gl.1",6
"cz:55514:46816:1:Gl.1",9
"cz:55514:46899:1:Gl.1",6
"cz:55514:46900:1:Gl.1",6
"cz:55514:50509:1:1",7
"cz:55521:60000:2:Gl.3",5
"cz:55521:60000:3:Gl.4",6
"cz:55521:60000:3:Gl.5",6
"cz:55521:60001:1:Gl.1",10
"cz:55521:60004:1:Gl.1",10
